[2026-02-10T10:55:34.556526400Z] [39e58850] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-8: Request ID: f2ffe8e0-07d4-414c-a836-f298b593dfc9, Getting security summary for user: RDK006
[2026-02-10T10:55:34.556526400Z] [ada452da] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-3: Request ID: d8249e44-095f-4c0d-83db-c1d7f1fd3d8c, Getting IP whitelist for user: RDK006
[2026-02-10T10:55:34.556526400Z] [83017718] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-4: Request ID: d5559b1b-6e97-46fd-9b05-2424a11851f2, Getting security configuration for user: RDK006
[2026-02-10T10:55:34.561049100Z] [f076bde8] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-8: Request ID: f2ffe8e0-07d4-414c-a836-f298b593dfc9, Getting security summary
[2026-02-10T10:55:34.561049100Z] [bfcc023b] [INFO] [APISecurityService.getSecurityAlerts] http-nio-4789-exec-9: Request ID: e8cf3c57-fd7c-4a58-a457-8f41293d8941, Getting security alerts
[2026-02-10T10:55:34.573074Z] [dadf14c9] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-3: Request ID: d8249e44-095f-4c0d-83db-c1d7f1fd3d8c, Getting IP whitelist
[2026-02-10T10:55:34.573074Z] [1c561710] [INFO] [APISecurityService.getSecurityConfiguration] http-nio-4789-exec-4: Request ID: d5559b1b-6e97-46fd-9b05-2424a11851f2, Getting security configuration
[2026-02-10T10:55:34.573074Z] [ae3de0ac] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-8: Request ID: f2ffe8e0-07d4-414c-a836-f298b593dfc9, Security summary retrieved successfully
[2026-02-10T10:55:34.578071Z] [c3c6dece] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-9: Request ID: e8cf3c57-fd7c-4a58-a457-8f41293d8941, Security alerts retrieved successfully
[2026-02-10T10:55:34.579086700Z] [1a2ef11d] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-4: Request ID: d5559b1b-6e97-46fd-9b05-2424a11851f2, Security configuration retrieved successfully
[2026-02-10T10:55:34.583125400Z] [254de5fc] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-3: Request ID: d8249e44-095f-4c0d-83db-c1d7f1fd3d8c, IP whitelist retrieved successfully
[2026-02-10T10:56:19.395328500Z] [2168276b] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-6: Request ID: f996549a-2f75-43c3-95a2-aaea2f606569, Getting security alerts for user: RDK006
[2026-02-10T10:56:19.395328500Z] [7f75e044] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-4: Request ID: 113dce09-3427-401d-b27c-9a9671750647, Getting IP whitelist for user: RDK006
[2026-02-10T10:56:19.395328500Z] [bb002ffa] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-5: Request ID: 59ea9bd3-70e6-4b21-b848-4f7b1753f58f, Getting security configuration for user: RDK006
[2026-02-10T10:56:19.389433300Z] [780840f5] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-2: Request ID: f69f661c-d292-4981-9ccf-a55440cc7682, Getting security summary for user: RDK006
[2026-02-10T10:56:19.402286100Z] [fceca8e1] [INFO] [APISecurityService.getSecurityAlerts] http-nio-4789-exec-6: Request ID: f996549a-2f75-43c3-95a2-aaea2f606569, Getting security alerts
[2026-02-10T10:56:19.403248300Z] [aece8eb6] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-4: Request ID: 113dce09-3427-401d-b27c-9a9671750647, Getting IP whitelist
